,User,Date,Jour,Week_day,Heure,Artiste,Titre,Song,Genre
0,Deez,2021-11-28 15:34:58,2021-11-28,Dimanche,15,Serge Gainsbourg,Comme un boomerang,L'ami Caouette,undefined
1,Deez,2021-11-28 15:35:50,2021-11-28,Dimanche,15,Les Innocents,Fous à lier,L'autre Finistère,undefined
2,Deez,2021-12-04 09:19:43,2021-12-04,Samedi,9,Adele,Easy On Me,Easy On Me,undefined
3,Deez,2021-12-04 09:26:02,2021-12-04,Samedi,9,Leto,100 visages,Macaroni (feat. Ninho),undefined
4,Deez,2021-12-04 09:26:43,2021-12-04,Samedi,9,Amel Bent,Sorøre,Ne retiens pas tes larmes,undefined
5,Deez,2021-12-04 09:28:56,2021-12-04,Samedi,9,Pierre Lapointe,Sentiments humains,Je reviendrai,undefined
6,Deez,2021-12-04 09:29:59,2021-12-04,Samedi,9,Pierre Lapointe,Sentiments humains,Je reviendrai,undefined
7,Deez,2021-12-04 09:33:20,2021-12-04,Samedi,9,Fréro Delavega,Fréro Delavega,Sweet Darling,undefined
8,Deez,2021-12-04 09:36:40,2021-12-04,Samedi,9,Pierre Lapointe,Sentiments humains,Au bar des suicidés,undefined
9,Deez,2021-12-04 10:32:08,2021-12-04,Samedi,10,Clara Luciani,Cœur,Le reste,undefined
10,Deez,2021-12-04 10:35:46,2021-12-04,Samedi,10,Christophe Maé,Y'a du soleil,Y'a du soleil,undefined
11,Deez,2021-12-04 10:39:00,2021-12-04,Samedi,10,Amel Bent,Sorøre,Ne retiens pas tes larmes,undefined
12,Deez,2021-12-04 10:42:03,2021-12-04,Samedi,10,Thierry Hazard,Le jerk,Le jerk,undefined
13,Deez,2021-12-04 10:45:58,2021-12-04,Samedi,10,Clara Luciani,Cœur,Amour toujours,undefined
14,Deez,2021-12-04 10:49:25,2021-12-04,Samedi,10,Clara Luciani,Cœur,Respire encore,undefined
15,Deez,2021-12-04 10:53:12,2021-12-04,Samedi,10,Claudio Capéo,Tant que rien ne m'arrête (Version deluxe),C'est une chanson,undefined
16,Deez,2021-12-04 10:56:08,2021-12-04,Samedi,10,Claudio Capéo,Claudio Capéo (Version deluxe),Enfants sauvages,undefined
17,Deez,2021-12-04 10:57:48,2021-12-04,Samedi,10,Clara Luciani,Cœur,Le reste,undefined
18,Deez,2021-12-04 10:59:10,2021-12-04,Samedi,10,Amel Bent,Sorøre,Marine,undefined
19,Deez,2021-12-04 16:17:23,2021-12-04,Samedi,16,Joseph Shabason,"Anne, EP",Broken Hearted Kota,undefined
20,Deez,2021-12-04 16:18:26,2021-12-04,Samedi,16,Amel Bent,Sorøre,Marine,undefined
21,Deez,2021-12-04 16:22:09,2021-12-04,Samedi,16,Louane,Toutes les femmes de ta vie - Souvenirs d'enfance,Toutes les femmes de ta vie - Souvenirs d'enfance,undefined
22,Deez,2021-12-04 16:24:45,2021-12-04,Samedi,16,Lorie,Je Serai (Ta Meilleure Amie),Je serai (ta meilleure amie),undefined
23,Deez,2021-12-04 16:28:32,2021-12-04,Samedi,16,Ornella Tempesta,Ta meilleure amie,Ta meilleure amie,undefined
24,Deez,2021-12-04 16:29:09,2021-12-04,Samedi,16,Kids United Nouvelle Génération,L'hymne de la vie,Ta meilleure amie,undefined
25,Deez,2021-12-04 16:32:18,2021-12-04,Samedi,16,Louane,Jour 1 (Gostan Remix),Jour 1 (Gostan Remix),undefined
26,Deez,2021-12-04 16:35:51,2021-12-04,Samedi,16,Kids United Nouvelle Génération,L'hymne de la vie,Ta meilleure amie,undefined
27,Deez,2021-12-04 16:36:24,2021-12-04,Samedi,16,Ornella Tempesta,Ta meilleure amie,Ta meilleure amie,undefined
28,Deez,2021-12-04 16:45:02,2021-12-04,Samedi,16,Ornella Tempesta,Ta meilleure amie,Dans ma tête,undefined
29,Deez,2021-12-04 16:45:58,2021-12-04,Samedi,16,Ornella Tempesta,Cache cache,Cache cache,undefined
30,Deez,2021-12-04 16:54:48,2021-12-04,Samedi,16,Johnny Hallyday,Ce que je sais,Allumer le feu,undefined
31,Deez,2021-12-04 16:58:28,2021-12-04,Samedi,16,Bruno Mars,Doo-Wops & Hooligans,Marry You,undefined
32,Deez,2021-12-04 17:02:18,2021-12-04,Samedi,17,MIKA,Life In Cartoon Motion (UK eDeluxe Album),"Relax, Take It Easy",undefined
